2017-11-17-10-47-58    UserID [3]    Transaction Complete 
2017-11-17-10-47-58    UserID [6]    Transaction Complete 
2017-11-17-10-47-58    UserID [7]    Transaction Complete 
2017-11-17-10-47-58    UserID [1]    Transaction Complete 
2017-11-17-10-47-58    UserID [9]    Transaction Complete 
2017-11-17-10-47-58    UserID [4]    Transaction Complete 
2017-11-17-10-47-58    UserID [8]    Transaction Complete 
2017-11-17-10-47-58    UserID [2]    Transaction Complete 
2017-11-17-10-47-59    UserID [5]    Transaction Complete 
2017-11-17-10-47-59    UserID [0]    Transaction Complete 
2017-11-17-10-47-59    UserID [6]    Transaction Complete 
2017-11-17-10-47-59    UserID [3]    Transaction Complete 
2017-11-17-10-47-59    UserID [7]    Transaction Complete 
2017-11-17-10-47-59    UserID [1]    Transaction Complete 
2017-11-17-10-47-59    UserID [9]    Transaction Complete 
2017-11-17-10-47-59    UserID [2]    Transaction Complete 
2017-11-17-10-47-59    UserID [4]    Transaction Complete 
2017-11-17-10-47-59    UserID [8]    Transaction Complete 
2017-11-17-10-47-59    UserID [6]    Transaction Complete 
2017-11-17-10-47-59    UserID [3]    Transaction Complete 
2017-11-17-10-47-59    UserID [5]    Transaction Complete 
2017-11-17-10-47-59    UserID [0]    Transaction Complete 
2017-11-17-10-47-59    UserID [7]    Transaction Complete 
2017-11-17-10-48-0    UserID [1]    Transaction Complete 
2017-11-17-10-48-0    UserID [9]    Transaction Complete 
2017-11-17-10-48-0    UserID [6]    Transaction Complete 
2017-11-17-10-48-0    UserID [8]    Transaction Complete 
2017-11-17-10-48-0    UserID [4]    Transaction Complete 
2017-11-17-10-48-0    UserID [3]    Transaction Complete 
2017-11-17-10-48-0    UserID [2]    Transaction Complete 
2017-11-17-10-48-0    UserID [5]    Transaction Complete 
2017-11-17-10-48-0    UserID [1]    Transaction Complete 
2017-11-17-10-48-0    UserID [0]    Transaction Complete 
2017-11-17-10-48-0    UserID [7]    Transaction Complete 
2017-11-17-10-48-0    UserID [6]    Transaction Complete 
2017-11-17-10-48-0    UserID [9]    Transaction Complete 
2017-11-17-10-48-0    UserID [4]    Transaction Complete 
2017-11-17-10-48-0    UserID [2]    Transaction Complete 
2017-11-17-10-48-0    UserID [3]    Transaction Complete 
2017-11-17-10-48-1    UserID [8]    Transaction Complete 
2017-11-17-10-48-1    UserID [5]    Transaction Complete 
2017-11-17-10-48-1    UserID [0]    Transaction Complete 
2017-11-17-10-48-1    UserID [1]    Transaction Complete 
2017-11-17-10-48-1    UserID [9]    Transaction Complete 
2017-11-17-10-48-1    UserID [7]    Transaction Complete 
2017-11-17-10-48-1    UserID [6]    Transaction Complete 
2017-11-17-10-48-1    UserID [8]    Transaction Complete 
2017-11-17-10-48-1    UserID [4]    Transaction Complete 
2017-11-17-10-48-1    UserID [3]    Transaction Complete 
2017-11-17-10-48-1    UserID [2]    Transaction Complete 
2017-11-17-10-48-1    UserID [9]    Transaction Complete 
2017-11-17-10-48-1    UserID [6]    Transaction Complete 
2017-11-17-10-48-1    UserID [1]    Transaction Complete 
2017-11-17-10-48-1    UserID [0]    Transaction Complete 
2017-11-17-10-48-2    UserID [4]    Transaction Complete 
2017-11-17-10-48-2    UserID [3]    Transaction Complete 
2017-11-17-10-48-2    UserID [5]    Transaction Complete 
2017-11-17-10-48-2    UserID [2]    Transaction Complete 
2017-11-17-10-48-2    UserID [7]    Transaction Complete 
2017-11-17-10-48-2    UserID [8]    Transaction Complete 
2017-11-17-10-48-2    UserID [5]    Transaction Complete 
2017-11-17-10-48-2    UserID [1]    Transaction Complete 
2017-11-17-10-48-2    UserID [6]    Transaction Complete 
2017-11-17-10-48-2    UserID [9]    Transaction Complete 
2017-11-17-10-48-2    UserID [3]    Transaction Complete 
2017-11-17-10-48-2    UserID [0]    Transaction Complete 
2017-11-17-10-48-2    UserID [4]    Transaction Complete 
2017-11-17-10-48-2    UserID [7]    Transaction Complete 
2017-11-17-10-48-2    UserID [2]    Transaction Complete 
2017-11-17-10-48-2    UserID [1]    Transaction Complete 
2017-11-17-10-48-2    UserID [6]    Transaction Complete 
2017-11-17-10-48-2    UserID [3]    Transaction Complete 
2017-11-17-10-48-2    UserID [8]    Transaction Complete 
2017-11-17-10-48-3    UserID [4]    Transaction Complete 
2017-11-17-10-48-3    UserID [9]    Transaction Complete 
2017-11-17-10-48-3    UserID [7]    Transaction Complete 
2017-11-17-10-48-3    UserID [5]    Transaction Complete 
2017-11-17-10-48-3    UserID [2]    Transaction Complete 
2017-11-17-10-48-3    UserID [0]    Transaction Complete 
2017-11-17-10-48-3    UserID [1]    Transaction Complete 
2017-11-17-10-48-3    UserID [3]    Transaction Complete 
2017-11-17-10-48-3    UserID [6]    Transaction Complete 
2017-11-17-10-48-3    UserID [4]    Transaction Complete 
2017-11-17-10-48-3    UserID [8]    Transaction Complete 
2017-11-17-10-48-3    UserID [2]    Transaction Complete 
2017-11-17-10-48-3    UserID [9]    Transaction Complete 
2017-11-17-10-48-3    UserID [7]    Transaction Complete 
2017-11-17-10-48-3    UserID [5]    Transaction Complete 
2017-11-17-10-48-3    UserID [0]    Transaction Complete 
2017-11-17-10-48-4    UserID [4]    Transaction Complete 
2017-11-17-10-48-4    UserID [2]    Transaction Complete 
2017-11-17-10-48-4    UserID [6]    Transaction Complete 
2017-11-17-10-48-4    UserID [9]    Transaction Complete 
2017-11-17-10-48-4    UserID [8]    Transaction Complete 
2017-11-17-10-48-4    UserID [1]    Transaction Complete 
2017-11-17-10-48-4    UserID [3]    Transaction Complete 
2017-11-17-10-48-4    UserID [7]    Transaction Complete 
2017-11-17-10-48-4    UserID [5]    Transaction Complete 
2017-11-17-10-48-4    UserID [0]    Transaction Complete 
2017-11-17-10-48-4    UserID [9]    Transaction Complete 
2017-11-17-10-48-4    UserID [2]    Transaction Complete 
2017-11-17-10-48-4    UserID [1]    Transaction Complete 
2017-11-17-10-48-4    UserID [4]    Transaction Complete 
2017-11-17-10-48-4    UserID [6]    Transaction Complete 
2017-11-17-10-48-4    UserID [3]    Transaction Complete 
2017-11-17-10-48-5    UserID [5]    Transaction Complete 
2017-11-17-10-48-5    UserID [8]    Transaction Complete 
2017-11-17-10-48-5    UserID [7]    Transaction Complete 
2017-11-17-10-48-5    UserID [0]    Transaction Complete 
2017-11-17-10-48-5    UserID [4]    Transaction Complete 
2017-11-17-10-48-5    UserID [2]    Transaction Complete 
2017-11-17-10-48-5    UserID [1]    Transaction Complete 
2017-11-17-10-48-5    UserID [6]    Transaction Complete 
2017-11-17-10-48-5    UserID [0]    Transaction Complete 
2017-11-17-10-48-5    UserID [7]    Transaction Complete 
2017-11-17-10-48-5    UserID [3]    Transaction Complete 
2017-11-17-10-48-5    UserID [5]    Transaction Complete 
2017-11-17-10-48-5    UserID [8]    Transaction Complete 
2017-11-17-10-48-5    UserID [9]    Transaction Complete 
2017-11-17-10-48-5    UserID [1]    Transaction Complete 
2017-11-17-10-48-5    UserID [4]    Transaction Complete 
2017-11-17-10-48-5    UserID [2]    Transaction Complete 
2017-11-17-10-48-6    UserID [6]    Transaction Complete 
2017-11-17-10-48-6    UserID [0]    Transaction Complete 
2017-11-17-10-48-6    UserID [5]    Transaction Complete 
2017-11-17-10-48-6    UserID [7]    Transaction Complete 
